식품명,식품대분류명,대표식품명,식품중분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),인(mg),칼륨(mg),나트륨(mg),식품중량
마늘빵,빵 및 과자류,마늘빵,밀,100g,438,12.06,17.58,57.94,7.36,119,178,519,50g
머핀,빵 및 과자류,머핀,밀,100g,384,5.73,13.84,59.15,39.65,137,99,411,130g
모닝빵,빵 및 과자류,모닝빵,밀,100g,314,9.5,7.43,52.17,7.97,98,115,489,70g
모카빵,빵 및 과자류,모카빵,밀,100g,339,8.55,8.05,57.96,12.53,133,173,354,150g
베이글,빵 및 과자류,베이글,밀,100g,306,10,5.83,53.48,4.58,98,109,695,120g
샌드위치_닭가슴살,빵 및 과자류,샌드위치,닭,100g,240,12.18,11.92,20.96,3.09,129,200,438,230g
샌드위치_모듬,빵 및 과자류,샌드위치,밀,100g,193,9.5,13.44,8.44,0.6,187,152,358,220g
샌드위치_참치,빵 및 과자류,샌드위치,참치,100g,202,10.54,11.65,13.78,1.38,91,152,209,250g
샌드위치_채소,빵 및 과자류,샌드위치,채소,100g,244,4.08,14.75,23.82,14.26,47,162,426,180g
샌드위치_햄_달걀,빵 및 과자류,샌드위치,햄,100g,220,12.44,11.92,15.64,1.9,258,189,699,200g
소보로빵,빵 및 과자류,소보로빵,밀,100g,392,8.27,15.13,55.63,16.69,107,120,396,70g
식빵,빵 및 과자류,식빵,밀,100g,264,9.34,2.6,50.91,1.56,117,129,468,100g
초코소라빵,빵 및 과자류,초코소라빵,밀,100g,319,3.29,10.93,51.76,9.29,101,182,215,70g
츄러스,빵 및 과자류,츄러스,밀,100g,361,6.6,11.29,58.17,22.73,178,64,363,70g
카스텔라,빵 및 과자류,카스텔라,밀,100g,335,10.03,11.47,47.99,33.77,187,96,63,70g
케이크_롤케이크,빵 및 과자류,케이크,밀,100g,312,7.36,11.83,44.01,24.64,140,98,143,100g
케이크_생크림케이크,빵 및 과자류,케이크,밀,100g,237,3.45,12.54,27.62,14.49,131,106,151,100g
크로와상,빵 및 과자류,크로와상,밀,100g,446,7.52,26.98,43.31,6.1,133,111,457,150g
파이/만주_사과파이,빵 및 과자류,파이/만주,밀,100g,185,2.54,3.91,34.83,7.11,169,94,204,100g
페이스트리,빵 및 과자류,페이스트리,밀,100g,466,8.31,29.66,41.5,6.43,88,102,373,70g
피자_콤비네이션피자,빵 및 과자류,피자,밀,100g,274,10.68,14.36,25.54,4.85,180,214,441,200g
피자빵,빵 및 과자류,피자빵,밀,100g,298,8.85,15.05,31.76,8.11,163,164,637,200g
햄버거,빵 및 과자류,햄버거,밀,100g,264,12.85,13.98,21.67,3.13,116,203,450,200g
햄버거_불고기버거,빵 및 과자류,햄버거,밀,100g,250,13.88,11.52,22.68,0.13,117,206,338,200g
호떡_견과류,빵 및 과자류,호떡,견과류,100g,314,5.41,7.07,57.12,0.73,15,33,211,150g
간자장,면 및 만두류,간자장,밀,100g,125,5.12,4.89,15.13,0.86,53,125,455,500g
국수_막국수,면 및 만두류,국수,밀,100g,133,5.8,1.61,23.9,4.88,52,135,405,600g
국수_비빔국수,면 및 만두류,국수,밀,100g,102,3.01,0.95,20.47,4.11,34,112,239,500g
국수_잔치국수,면 및 만두류,국수,밀,100g,44,1.93,0.49,8.05,0.04,13,38,216,700g
